"TIME","GEO","SEX","UNIT","AGE","Value","Flag and Footnotes"
"2018","BE332","Insgesamt","Anzahl","Insgesamt","626.222",""
"2018","BE332","Männer","Anzahl","Insgesamt","305.646",""
"2018","BE332","Frauen","Anzahl","Insgesamt","320.576",""
"2018","BE334","Insgesamt","Anzahl","Insgesamt","80.969",""
"2018","BE334","Männer","Anzahl","Insgesamt","39.567",""
"2018","BE334","Frauen","Anzahl","Insgesamt","41.402",""
"2018","BE335","Insgesamt","Anzahl","Insgesamt","210.486",""
"2018","BE335","Männer","Anzahl","Insgesamt","103.406",""
"2018","BE335","Frauen","Anzahl","Insgesamt","107.080",""
"2018","BE336","Insgesamt","Anzahl","Insgesamt","77.529",""
"2018","BE336","Männer","Anzahl","Insgesamt","38.687",""
"2018","BE336","Frauen","Anzahl","Insgesamt","38.842",""
"2018","BE34","Insgesamt","Anzahl","Insgesamt","285.010",""
"2018","BE34","Männer","Anzahl","Insgesamt","142.136",""
"2018","BE34","Frauen","Anzahl","Insgesamt","142.874",""
"2018","BE341","Insgesamt","Anzahl","Insgesamt","62.520",""
"2018","BE341","Männer","Anzahl","Insgesamt","31.175",""
"2018","BE341","Frauen","Anzahl","Insgesamt","31.345",""
"2018","BE342","Insgesamt","Anzahl","Insgesamt","48.828",""
"2018","BE342","Männer","Anzahl","Insgesamt","24.517",""
"2018","BE342","Frauen","Anzahl","Insgesamt","24.311",""
"2018","BE343","Insgesamt","Anzahl","Insgesamt","56.870",""
"2018","BE343","Männer","Anzahl","Insgesamt","28.469",""
"2018","BE343","Frauen","Anzahl","Insgesamt","28.401",""
"2018","BE344","Insgesamt","Anzahl","Insgesamt","63.105",""
"2018","BE344","Männer","Anzahl","Insgesamt","31.419",""
"2018","BE344","Frauen","Anzahl","Insgesamt","31.686",""
"2018","BE345","Insgesamt","Anzahl","Insgesamt","53.687",""
"2018","BE345","Männer","Anzahl","Insgesamt","26.556",""
"2018","BE345","Frauen","Anzahl","Insgesamt","27.131",""
"2018","BE35","Insgesamt","Anzahl","Insgesamt","495.158",""
"2018","BE35","Männer","Anzahl","Insgesamt","243.194",""
"2018","BE35","Frauen","Anzahl","Insgesamt","251.964",""
"2018","BE351","Insgesamt","Anzahl","Insgesamt","111.566",""
"2018","BE351","Männer","Anzahl","Insgesamt","55.113",""
"2018","BE351","Frauen","Anzahl","Insgesamt","56.453",""
"2018","BE352","Insgesamt","Anzahl","Insgesamt","316.606",""
"2018","BE352","Männer","Anzahl","Insgesamt","154.892",""
"2018","BE352","Frauen","Anzahl","Insgesamt","161.714",""
"2018","BE353","Insgesamt","Anzahl","Insgesamt","66.986",""
"2018","BE353","Männer","Anzahl","Insgesamt","33.189",""
"2018","BE353","Frauen","Anzahl","Insgesamt","33.797",""
"2018","BG","Insgesamt","Anzahl","Insgesamt","7.050.034",""
"2018","BG","Männer","Anzahl","Insgesamt","3.422.409",""
"2018","BG","Frauen","Anzahl","Insgesamt","3.627.625",""
"2018","BG3","Insgesamt","Anzahl","Insgesamt","3.524.208",""
"2018","BG3","Männer","Anzahl","Insgesamt","1.716.518",""
"2018","BG3","Frauen","Anzahl","Insgesamt","1.807.690",""
"2018","BG31","Insgesamt","Anzahl","Insgesamt","755.956",""
"2018","BG31","Männer","Anzahl","Insgesamt","369.498",""
"2018","BG31","Frauen","Anzahl","Insgesamt","386.458",""
"2018","BG311","Insgesamt","Anzahl","Insgesamt","86.927",""
"2018","BG311","Männer","Anzahl","Insgesamt","42.411",""
"2018","BG311","Frauen","Anzahl","Insgesamt","44.516",""
"2018","BG312","Insgesamt","Anzahl","Insgesamt","132.214",""
"2018","BG312","Männer","Anzahl","Insgesamt","64.678",""
"2018","BG312","Frauen","Anzahl","Insgesamt","67.536",""
"2018","BG313","Insgesamt","Anzahl","Insgesamt","165.645",""
"2018","BG313","Männer","Anzahl","Insgesamt","81.459",""
"2018","BG313","Frauen","Anzahl","Insgesamt","84.186",""
"2018","BG314","Insgesamt","Anzahl","Insgesamt","244.209",""
"2018","BG314","Männer","Anzahl","Insgesamt","119.044",""
"2018","BG314","Frauen","Anzahl","Insgesamt","125.165",""
"2018","BG315","Insgesamt","Anzahl","Insgesamt","126.961",""
"2018","BG315","Männer","Anzahl","Insgesamt","61.906",""
"2018","BG315","Frauen","Anzahl","Insgesamt","65.055",""
"2018","BG32","Insgesamt","Anzahl","Insgesamt","794.998",""
"2018","BG32","Männer","Anzahl","Insgesamt","386.684",""
"2018","BG32","Frauen","Anzahl","Insgesamt","408.314",""
"2018","BG321","Insgesamt","Anzahl","Insgesamt","239.132",""
"2018","BG321","Männer","Anzahl","Insgesamt","115.655",""
"2018","BG321","Frauen","Anzahl","Insgesamt","123.477",""
"2018","BG322","Insgesamt","Anzahl","Insgesamt","110.254",""
"2018","BG322","Männer","Anzahl","Insgesamt","53.243",""
"2018","BG322","Frauen","Anzahl","Insgesamt","57.011",""
"2018","BG323","Insgesamt","Anzahl","Insgesamt","221.336",""
"2018","BG323","Männer","Anzahl","Insgesamt","108.150",""
"2018","BG323","Frauen","Anzahl","Insgesamt","113.186",""
"2018","BG324","Insgesamt","Anzahl","Insgesamt","113.714",""
"2018","BG324","Männer","Anzahl","Insgesamt","55.437",""
"2018","BG324","Frauen","Anzahl","Insgesamt","58.277",""
"2018","BG325","Insgesamt","Anzahl","Insgesamt","110.562",""
"2018","BG325","Männer","Anzahl","Insgesamt","54.199",""
"2018","BG325","Frauen","Anzahl","Insgesamt","56.363",""
"2018","BG33","Insgesamt","Anzahl","Insgesamt","933.705",""
"2018","BG33","Männer","Anzahl","Insgesamt","455.521",""
"2018","BG33","Frauen","Anzahl","Insgesamt","478.184",""
"2018","BG331","Insgesamt","Anzahl","Insgesamt","472.120",""
"2018","BG331","Männer","Anzahl","Insgesamt","230.301",""
"2018","BG331","Frauen","Anzahl","Insgesamt","241.819",""
"2018","BG332","Insgesamt","Anzahl","Insgesamt","176.145",""
"2018","BG332","Männer","Anzahl","Insgesamt","85.739",""
"2018","BG332","Frauen","Anzahl","Insgesamt","90.406",""
"2018","BG333","Insgesamt","Anzahl","Insgesamt","172.966",""
"2018","BG333","Männer","Anzahl","Insgesamt","84.539",""
"2018","BG333","Frauen","Anzahl","Insgesamt","88.427",""
"2018","BG334","Insgesamt","Anzahl","Insgesamt","112.474",""
"2018","BG334","Männer","Anzahl","Insgesamt","54.942",""
"2018","BG334","Frauen","Anzahl","Insgesamt","57.532",""
"2018","BG34","Insgesamt","Anzahl","Insgesamt","1.039.549",""
"2018","BG34","Männer","Anzahl","Insgesamt","504.815",""
"2018","BG34","Frauen","Anzahl","Insgesamt","534.734",""
"2018","BG341","Insgesamt","Anzahl","Insgesamt","411.579",""
"2018","BG341","Männer","Anzahl","Insgesamt","199.519",""
"2018","BG341","Frauen","Anzahl","Insgesamt","212.060",""
"2018","BG342","Insgesamt","Anzahl","Insgesamt","188.433",""
"2018","BG342","Männer","Anzahl","Insgesamt","91.614",""
"2018","BG342","Frauen","Anzahl","Insgesamt","96.819",""
"2018","BG343","Insgesamt","Anzahl","Insgesamt","120.470",""
"2018","BG343","Männer","Anzahl","Insgesamt","58.976",""
